road_seg_id,data_time,volume,speed
13EQB0C3DT013EPP0C3C600104214,2024-03-02 20:56:08,1,5.8
13L9M0C3PV013L9E0C3PT00104111,2024-03-02 20:56:19,2,57.29
13FIJ0C554013FIO0C53C00104444,2024-03-02 20:56:47,63,68.618
13G6S0C4IE013G6P0C4KS00300772,2024-03-02 20:57:00,12,40.125
13G730C5JR013G9G0C5LM00100683,2024-03-02 20:57:00,42,42.0
13GQN0C644013GOB0C64300102661,2024-03-02 20:57:00,72,49.75
13H000C647013H1N0C64600300543,2024-03-02 20:57:00,4,8.375
13H1Q0C5R8013H1R0C5Q900101614,2024-03-02 20:57:00,9,44.333
13HA60C5JF013HA50C5HO00101324,2024-03-02 20:57:00,45,39.667
13HV00C681013HSM0C6C700105472,2024-03-02 20:57:05,13,79.09
13FIJ0C554013FIO0C53C00104444,2024-03-02 20:57:47,17,72.3
13G730C5JR013G9G0C5LM00100683,2024-03-02 20:58:00,32,44.5
13GQN0C644013GOB0C64300102661,2024-03-02 20:58:00,57,44.667
13H000C647013H1N0C64600300543,2024-03-02 20:58:00,6,7.625
13H1Q0C5R8013H1R0C5Q900101614,2024-03-02 20:58:00,7,53.0
13HA60C5JF013HA50C5HO00101324,2024-03-02 20:58:00,41,38.667
13HV00C681013HSM0C6C700105472,2024-03-02 20:58:05,48,81.663
13EQB0C3DT013EPP0C3C600104214,2024-03-02 20:58:08,0,0.0
13L9M0C3PV013L9E0C3PT00104111,2024-03-02 20:58:19,0,0.0
13FIJ0C554013FIO0C53C00104444,2024-03-02 20:58:47,45,70.748
13G6S0C4IE013G6P0C4KS00300772,2024-03-02 20:59:00,15,42.625
13G730C5JR013G9G0C5LM00100683,2024-03-02 20:59:00,41,47.667
13GQN0C644013GOB0C64300102661,2024-03-02 20:59:00,70,35.333
13H000C647013H1N0C64600300543,2024-03-02 20:59:00,8,7.75
13H1Q0C5R8013H1R0C5Q900101614,2024-03-02 20:59:00,22,50.0
13HA60C5JF013HA50C5HO00101324,2024-03-02 20:59:00,45,41.0
13HV00C681013HSM0C6C700105472,2024-03-02 20:59:05,48,82.093
13EQB0C3DT013EPP0C3C600104214,2024-03-02 20:59:08,0,0.0
13L9M0C3PV013L9E0C3PT00104111,2024-03-02 20:59:19,4,59.5
13FIJ0C554013FIO0C53C00104444,2024-03-02 20:59:47,53,69.718
13G6S0C4IE013G6P0C4KS00300772,2024-03-02 21:00:00,19,38.625
13G730C5JR013G9G0C5LM00100683,2024-03-02 21:00:00,25,48.0
13GQN0C644013GOB0C64300102661,2024-03-02 21:00:00,74,43.0
13H000C647013H1N0C64600300543,2024-03-02 21:00:00,4,7.375
13H1Q0C5R8013H1R0C5Q900101614,2024-03-02 21:00:00,10,50.667
13H1Q0C5R8013H1R0C5Q900101614,2024-03-02 21:00:00,14,51.667
13HA60C5JF013HA50C5HO00101324,2024-03-02 21:00:00,69,47.5
13HV00C681013HSM0C6C700105472,2024-03-02 21:00:05,56,76.397
13EQB0C3DT013EPP0C3C600104214,2024-03-02 21:00:08,3,18.7
13L9M0C3PV013L9E0C3PT00104111,2024-03-02 21:00:19,3,57.59
13FIJ0C554013FIO0C53C00104444,2024-03-02 21:00:47,49,70.15
13G6S0C4IE013G6P0C4KS00300772,2024-03-02 21:01:00,16,40.0
13G730C5JR013G9G0C5LM00100683,2024-03-02 21:01:00,80,45.833
13GQN0C644013GOB0C64300102661,2024-03-02 21:01:00,62,42.667
13H000C647013H1N0C64600300543,2024-03-02 21:01:00,8,7.5
13H1Q0C5R8013H1R0C5Q900101614,2024-03-02 21:01:00,14,54.333
13HA60C5JF013HA50C5HO00101324,2024-03-02 21:01:00,46,34.667
13HV00C681013HSM0C6C700105472,2024-03-02 21:01:05,63,76.9
13EQB0C3DT013EPP0C3C600104214,2024-03-02 21:01:08,0,0.0
13L9M0C3PV013L9E0C3PT00104111,2024-03-02 21:01:19,1,90.0
13FIJ0C554013FIO0C53C00104444,2024-03-02 21:01:47,47,71.65
13G6S0C4IE013G6P0C4KS00300772,2024-03-02 21:02:00,0,41.0
13G730C5JR013G9G0C5LM00100683,2024-03-02 21:02:00,43,44.667
13GQN0C644013GOB0C64300102661,2024-03-02 21:02:00,48,52.0
13H000C647013H1N0C64600300543,2024-03-02 21:02:00,10,7.25
13H1Q0C5R8013H1R0C5Q900101614,2024-03-02 21:02:00,11,42.667
13HA60C5JF013HA50C5HO00101324,2024-03-02 21:02:00,31,43.667
13HV00C681013HSM0C6C700105472,2024-03-02 21:02:05,47,82.457
13EQB0C3DT013EPP0C3C600104214,2024-03-02 21:02:08,3,23.7
13L9M0C3PV013L9E0C3PT00104111,2024-03-02 21:02:19,7,49.79
13FIJ0C554013FIO0C53C00104444,2024-03-02 21:02:47,37,67.93
13G6S0C4IE013G6P0C4KS00300772,2024-03-02 21:03:00,13,41.375
13G730C5JR013G9G0C5LM00100683,2024-03-02 21:03:00,38,42.5
13GQN0C644013GOB0C64300102661,2024-03-02 21:03:00,26,57.0
13H1Q0C5R8013H1R0C5Q900101614,2024-03-02 21:03:00,9,58.0
13HA60C5JF013HA50C5HO00101324,2024-03-02 21:03:00,19,54.0
13HV00C681013HSM0C6C700105472,2024-03-02 21:03:05,46,76.03
13EQB0C3DT013EPP0C3C600104214,2024-03-02 21:03:08,10,12.69
13L9M0C3PV013L9E0C3PT00104111,2024-03-02 21:03:19,2,67.59
13FIJ0C554013FIO0C53C00104444,2024-03-02 21:03:47,59,69.392
13G6S0C4IE013G6P0C4KS00300772,2024-03-02 21:04:00,14,40.125
13G730C5JR013G9G0C5LM00100683,2024-03-02 21:04:00,35,46.333
13GQN0C644013GOB0C64300102661,2024-03-02 21:04:00,65,40.667
13H000C647013H1N0C64600300543,2024-03-02 21:04:00,6,7.5
13H1Q0C5R8013H1R0C5Q900101614,2024-03-02 21:04:00,15,50.667
13HA60C5JF013HA50C5HO00101324,2024-03-02 21:04:00,44,43.0
13HV00C681013HSM0C6C700105472,2024-03-02 21:04:05,23,77.65
13EQB0C3DT013EPP0C3C600104214,2024-03-02 21:04:08,2,5.4
13L9M0C3PV013L9E0C3PT00104111,2024-03-02 21:04:19,0,0.0
13FIJ0C554013FIO0C53C00104444,2024-03-02 21:04:47,46,67.497
13G6S0C4IE013G6P0C4KS00300772,2024-03-02 21:05:00,21,39.125
13G730C5JR013G9G0C5LM00100683,2024-03-02 21:05:00,18,45.0
13G730C5JR013G9G0C5LM00100683,2024-03-02 21:05:00,55,42.333
13GQN0C644013GOB0C64300102661,2024-03-02 21:05:00,38,47.0
13H1Q0C5R8013H1R0C5Q900101614,2024-03-02 21:05:00,9,57.0
13H1Q0C5R8013H1R0C5Q900101614,2024-03-02 21:05:00,6,62.5
13HA60C5JF013HA50C5HO00101324,2024-03-02 21:05:00,72,45.5
13HV00C681013HSM0C6C700105472,2024-03-02 21:05:05,50,78.563
13EQB0C3DT013EPP0C3C600104214,2024-03-02 21:05:08,0,0.0
13L9M0C3PV013L9E0C3PT00104111,2024-03-02 21:05:19,4,39.09
13FIJ0C554013FIO0C53C00104444,2024-03-02 21:05:47,64,70.645
13G6S0C4IE013G6P0C4KS00300772,2024-03-02 21:06:00,21,38.125
13G730C5JR013G9G0C5LM00100683,2024-03-02 21:06:00,40,44.667
13GQN0C644013GOB0C64300102661,2024-03-02 21:06:00,59,46.333
13H000C647013H1N0C64600300543,2024-03-02 21:06:00,8,7.5
13H1Q0C5R8013H1R0C5Q900101614,2024-03-02 21:06:00,9,54.333
13HA60C5JF013HA50C5HO00101324,2024-03-02 21:06:00,31,45.667
13HV00C681013HSM0C6C700105472,2024-03-02 21:06:05,41,77.76
13EQB0C3DT013EPP0C3C600104214,2024-03-02 21:06:08,3,13.1
13L9M0C3PV013L9E0C3PT00104111,2024-03-02 21:06:19,3,53.79
13FIJ0C554013FIO0C53C00104444,2024-03-02 21:06:47,65,71.37
13G6S0C4IE013G6P0C4KS00300772,2024-03-02 21:07:00,16,40.75
13G730C5JR013G9G0C5LM00100683,2024-03-02 21:07:00,42,47.0
13GQN0C644013GOB0C64300102661,2024-03-02 21:07:00,52,49.333
13H000C647013H1N0C64600300543,2024-03-02 21:07:00,12,7.125
13H1Q0C5R8013H1R0C5Q900101614,2024-03-02 21:07:00,18,55.333
13HA60C5JF013HA50C5HO00101324,2024-03-02 21:07:00,41,44.0
13HV00C681013HSM0C6C700105472,2024-03-02 21:07:05,58,75.13
13EQB0C3DT013EPP0C3C600104214,2024-03-02 21:07:08,0,0.0
13L9M0C3PV013L9E0C3PT00104111,2024-03-02 21:07:19,1,54.29
13FIJ0C554013FIO0C53C00104444,2024-03-02 21:07:47,47,67.268
13G6S0C4IE013G6P0C4KS00300772,2024-03-02 21:08:00,14,40.0
13G730C5JR013G9G0C5LM00100683,2024-03-02 21:08:00,45,41.0
13GQN0C644013GOB0C64300102661,2024-03-02 21:08:00,53,49.0
13H000C647013H1N0C64600300543,2024-03-02 21:08:00,4,7.75
13H1Q0C5R8013H1R0C5Q900101614,2024-03-02 21:08:00,16,55.333
13HA60C5JF013HA50C5HO00101324,2024-03-02 21:08:00,41,44.333
13HV00C681013HSM0C6C700105472,2024-03-02 21:08:05,53,81.6
13EQB0C3DT013EPP0C3C600104214,2024-03-02 21:08:08,3,21.79
13L9M0C3PV013L9E0C3PT00104111,2024-03-02 21:08:19,5,56.2
13FIJ0C554013FIO0C53C00104444,2024-03-02 21:08:47,54,69.642
13G6S0C4IE013G6P0C4KS00300772,2024-03-02 21:09:00,16,40.375
13G730C5JR013G9G0C5LM00100683,2024-03-02 21:09:00,50,44.0
13GQN0C644013GOB0C64300102661,2024-03-02 21:09:00,44,54.667
13H000C647013H1N0C64600300543,2024-03-02 21:09:00,5,8.375
13H1Q0C5R8013H1R0C5Q900101614,2024-03-02 21:09:00,18,52.333
13HA60C5JF013HA50C5HO00101324,2024-03-02 21:09:00,47,38.667
13HV00C681013HSM0C6C700105472,2024-03-02 21:09:05,72,79.23
13EQB0C3DT013EPP0C3C600104214,2024-03-02 21:09:08,4,9.5
13L9M0C3PV013L9E0C3PT00104111,2024-03-02 21:09:19,2,56.9
13FIJ0C554013FIO0C53C00104444,2024-03-02 21:09:47,67,66.75
13G6S0C4IE013G6P0C4KS00300772,2024-03-02 21:10:00,22,22.25
13G730C5JR013G9G0C5LM00100683,2024-03-02 21:10:00,52,44.667
13GQN0C644013GOB0C64300102661,2024-03-02 21:10:00,53,49.667
13H000C647013H1N0C64600300543,2024-03-02 21:10:00,4,8.375
13H1Q0C5R8013H1R0C5Q900101614,2024-03-02 21:10:00,25,48.167
13HA60C5JF013HA50C5HO00101324,2024-03-02 21:10:00,78,41.667
13HV00C681013HSM0C6C700105472,2024-03-02 21:10:05,55,76.463
13EQB0C3DT013EPP0C3C600104214,2024-03-02 21:10:08,1,1.39
13L9M0C3PV013L9E0C3PT00104111,2024-03-02 21:10:19,1,64.3
13FIJ0C554013FIO0C53C00104444,2024-03-02 21:10:47,50,74.092
13G730C5JR013G9G0C5LM00100683,2024-03-02 21:11:00,60,44.667
